127.0.0.1 - - [28/Dec/2017:15:05:15 +0800] "GET / HTTP/1.1" 200 1170
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:14:08 +0800] "GET /rupeng-admin-prototype/images/acrossTab-close.png HTTP/1.1" 200 1541
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:14:08 +0800] "GET /rupeng-admin-prototype/page/text/list.html HTTP/1.1" 200 4539
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:14:08 +0800] "GET /rupeng-admin-prototype/lib/laypage/1.2/laypage.js HTTP/1.1" 200 3673
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:14:08 +0800] "GET /rupeng-admin-prototype/lib/laypage/1.2//skin/laypage.css HTTP/1.1" 200 1059
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:14:10 +0800] "GET /rupeng-admin-prototype/lib/layer/1.9.3/skin/default/loading-0.gif HTTP/1.1" 200 5793
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:14:10 +0800] "GET /rupeng-admin-prototype/lib/layer/1.9.3/skin/default/icon.png HTTP/1.1" 200 12527
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:14:10 +0800] "GET /rupeng-admin-prototype/page/subject/update.html HTTP/1.1" 200 2533
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:14:11 +0800] "GET /rupeng-admin-prototype/page/text/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:14:47 +0800] "GET /rupeng-admin-prototype/page/subject/list.html HTTP/1.1" 200 3973
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:16:54 +0800] "GET /rupeng-admin-prototype/page/exam/list.html HTTP/1.1" 200 3556
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:16:56 +0800] "GET /rupeng-admin-prototype/page/exam/update.html HTTP/1.1" 200 3850
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:17:01 +0800] "GET /rupeng-admin-prototype/page/classes/list.html HTTP/1.1" 200 4477
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:17:03 +0800] "GET /rupeng-admin-prototype/page/classes/add.html HTTP/1.1" 200 2526
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:17:04 +0800] "GET /rupeng-admin-prototype/page/classes/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:17:04 +0800] "GET /rupeng-admin-prototype/page/classesUser/update.html HTTP/1.1" 200 3944
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:17:11 +0800] "GET /rupeng-admin-prototype/page/studentScore/list.html HTTP/1.1" 200 4234
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:17:14 +0800] "GET /rupeng-admin-prototype/page/classesScore/list.html HTTP/1.1" 200 4196
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:17:30 +0800] "GET /rupeng-admin-prototype/page/text/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:17:32 +0800] "GET /rupeng-admin-prototype/page/textModel/list.html HTTP/1.1" 200 3967
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:17:37 +0800] "GET /rupeng-admin-prototype/page/textModel/add.html HTTP/1.1" 200 2534
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:17:38 +0800] "GET /rupeng-admin-prototype/page/textModel/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:20:58:18 +0800] "GET /rupeng-admin-prototype/page/textModel/add.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:20:58:23 +0800] "GET /rupeng-admin-prototype/page/text/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:20:58:26 +0800] "GET /rupeng-admin-prototype/page/text/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:20:58:32 +0800] "GET /rupeng-admin-prototype/page/student/list.html HTTP/1.1" 200 4913
0:0:0:0:0:0:0:1 - - [28/Dec/2017:20:59:48 +0800] "GET /rupeng-admin-prototype/page/text/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:20:59:52 +0800] "GET /rupeng-admin-prototype/page/subject/add.html HTTP/1.1" 200 2522
0:0:0:0:0:0:0:1 - - [28/Dec/2017:21:33:19 +0800] "GET /rupeng-admin-prototype/page/text/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:21:33:26 +0800] "GET /rupeng-admin-prototype/page/text/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:21:33:56 +0800] "GET /rupeng-admin-prototype/page/text/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:21:34:18 +0800] "GET /rupeng-admin-prototype/page/text/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:21:34:42 +0800] "GET /rupeng-admin-prototype/page/text/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:21:34:47 +0800] "GET /rupeng-admin-prototype/page/studentScore/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:21:34:49 +0800] "GET /rupeng-admin-prototype/page/classesScore/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:21:34:52 +0800] "GET /rupeng-admin-prototype/page/exam/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:21:34:53 +0800] "GET /rupeng-admin-prototype/page/exam/add.html HTTP/1.1" 200 3940
0:0:0:0:0:0:0:1 - - [28/Dec/2017:21:34:54 +0800] "GET /rupeng-admin-prototype/page/exam/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:21:35:28 +0800] "GET /rupeng-admin-prototype/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:21:35:33 +0800] "GET /rupeng-admin-prototype/page/text/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:21:35:54 +0800] "GET /rupeng-admin-prototype/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:21:35:59 +0800] "GET /rupeng-admin-prototype/page/text/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:21:36:06 +0800] "GET /rupeng-admin-prototype/ HTTP/1.1" 200 6436
0:0:0:0:0:0:0:1 - - [28/Dec/2017:21:36:06 +0800] "GET /rupeng-admin-prototype/css/H-ui.min.css HTTP/1.1" 200 100998
0:0:0:0:0:0:0:1 - - [28/Dec/2017:21:36:06 +0800] "GET /rupeng-admin-prototype/css/H-ui.admin.css HTTP/1.1" 200 8609
0:0:0:0:0:0:0:1 - - [28/Dec/2017:21:36:06 +0800] "GET /rupeng-admin-prototype/css/style.css HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [28/Dec/2017:21:36:06 +0800] "GET /rupeng-admin-prototype/lib/jquery/1.9.1/jquery.min.js HTTP/1.1" 200 92629
0:0:0:0:0:0:0:1 - - [28/Dec/2017:21:36:06 +0800] "GET /rupeng-admin-prototype/lib/Hui-iconfont/1.0.1/iconfont.css HTTP/1.1" 200 12168
0:0:0:0:0:0:0:1 - - [28/Dec/2017:21:36:06 +0800] "GET /rupeng-admin-prototype/skin/default/skin.css HTTP/1.1" 200 1335
0:0:0:0:0:0:0:1 - - [28/Dec/2017:21:36:06 +0800] "GET /rupeng-admin-prototype/lib/layer/1.9.3/layer.js HTTP/1.1" 200 14952
0:0:0:0:0:0:0:1 - - [28/Dec/2017:21:36:06 +0800] "GET /rupeng-admin-prototype/lib/My97DatePicker/WdatePicker.js HTTP/1.1" 200 10235
0:0:0:0:0:0:0:1 - - [28/Dec/2017:21:36:06 +0800] "GET /rupeng-admin-prototype/js/H-ui.js HTTP/1.1" 200 19561
0:0:0:0:0:0:0:1 - - [28/Dec/2017:21:36:06 +0800] "GET /rupeng-admin-prototype/js/H-ui.admin.js HTTP/1.1" 200 5346
0:0:0:0:0:0:0:1 - - [28/Dec/2017:21:36:06 +0800] "GET /rupeng-admin-prototype/js/common.js HTTP/1.1" 200 1769
0:0:0:0:0:0:0:1 - - [28/Dec/2017:21:36:06 +0800] "GET /rupeng-admin-prototype/lib/layer/1.9.3/skin/layer.css HTTP/1.1" 200 11508
0:0:0:0:0:0:0:1 - - [28/Dec/2017:21:36:06 +0800] "GET /rupeng-admin-prototype/lib/My97DatePicker/skin/WdatePicker.css HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [28/Dec/2017:21:36:06 +0800] "GET /rupeng-admin-prototype/welcome.html HTTP/1.1" 200 1835
0:0:0:0:0:0:0:1 - - [28/Dec/2017:21:36:06 +0800] "GET /rupeng-admin-prototype/lib/Hui-iconfont/1.0.1/iconfont.woff HTTP/1.1" 200 62672
0:0:0:0:0:0:0:1 - - [28/Dec/2017:21:36:06 +0800] "GET /rupeng-admin-prototype/skin/default/icon_arrow.png HTTP/1.1" 200 1484
0:0:0:0:0:0:0:1 - - [28/Dec/2017:21:36:06 +0800] "GET /rupeng-admin-prototype/images/acrossTab-2.png HTTP/1.1" 200 5710
0:0:0:0:0:0:0:1 - - [28/Dec/2017:21:36:06 +0800] "GET /rupeng-admin-prototype/images/loading.gif HTTP/1.1" 200 8476
0:0:0:0:0:0:0:1 - - [28/Dec/2017:21:36:08 +0800] "GET /rupeng-admin-prototype/images/acrossTab-close.png HTTP/1.1" 200 1541
0:0:0:0:0:0:0:1 - - [28/Dec/2017:21:36:08 +0800] "GET /rupeng-admin-prototype/page/text/list.html HTTP/1.1" 200 4539
0:0:0:0:0:0:0:1 - - [28/Dec/2017:21:36:08 +0800] "GET /rupeng-admin-prototype/lib/laypage/1.2/laypage.js HTTP/1.1" 200 3673
0:0:0:0:0:0:0:1 - - [28/Dec/2017:21:36:08 +0800] "GET /rupeng-admin-prototype/lib/laypage/1.2//skin/laypage.css HTTP/1.1" 200 1059
0:0:0:0:0:0:0:1 - - [28/Dec/2017:21:36:11 +0800] "GET /rupeng-admin-prototype/lib/layer/1.9.3/skin/default/loading-0.gif HTTP/1.1" 200 5793
0:0:0:0:0:0:0:1 - - [28/Dec/2017:21:36:11 +0800] "GET /rupeng-admin-prototype/lib/layer/1.9.3/skin/default/icon.png HTTP/1.1" 200 12527
0:0:0:0:0:0:0:1 - - [28/Dec/2017:21:36:11 +0800] "GET /rupeng-admin-prototype/page/subject/add.html HTTP/1.1" 200 2522
0:0:0:0:0:0:0:1 - - [28/Dec/2017:21:36:12 +0800] "GET /rupeng-admin-prototype/page/text/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:21:36:45 +0800] "GET /rupeng-admin-prototype/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:21:36:49 +0800] "GET /rupeng-admin-prototype/page/text/list.html HTTP/1.1" 200 4536
0:0:0:0:0:0:0:1 - - [28/Dec/2017:21:36:53 +0800] "GET /rupeng-admin-prototype/ HTTP/1.1" 200 6436
0:0:0:0:0:0:0:1 - - [28/Dec/2017:21:36:53 +0800] "GET /rupeng-admin-prototype/css/H-ui.min.css HTTP/1.1" 200 100998
0:0:0:0:0:0:0:1 - - [28/Dec/2017:21:36:53 +0800] "GET /rupeng-admin-prototype/lib/jquery/1.9.1/jquery.min.js HTTP/1.1" 200 92629
0:0:0:0:0:0:0:1 - - [28/Dec/2017:21:36:53 +0800] "GET /rupeng-admin-prototype/lib/layer/1.9.3/layer.js HTTP/1.1" 200 14952
0:0:0:0:0:0:0:1 - - [28/Dec/2017:21:36:53 +0800] "GET /rupeng-admin-prototype/css/H-ui.admin.css HTTP/1.1" 200 8609
0:0:0:0:0:0:0:1 - - [28/Dec/2017:21:36:53 +0800] "GET /rupeng-admin-prototype/css/style.css HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [28/Dec/2017:21:36:53 +0800] "GET /rupeng-admin-prototype/lib/Hui-iconfont/1.0.1/iconfont.css HTTP/1.1" 200 12168
0:0:0:0:0:0:0:1 - - [28/Dec/2017:21:36:53 +0800] "GET /rupeng-admin-prototype/skin/default/skin.css HTTP/1.1" 200 1335
0:0:0:0:0:0:0:1 - - [28/Dec/2017:21:36:53 +0800] "GET /rupeng-admin-prototype/lib/My97DatePicker/WdatePicker.js HTTP/1.1" 200 10235
0:0:0:0:0:0:0:1 - - [28/Dec/2017:21:36:53 +0800] "GET /rupeng-admin-prototype/js/H-ui.js HTTP/1.1" 200 19561
0:0:0:0:0:0:0:1 - - [28/Dec/2017:21:36:54 +0800] "GET /rupeng-admin-prototype/js/H-ui.admin.js HTTP/1.1" 200 5346
0:0:0:0:0:0:0:1 - - [28/Dec/2017:21:36:54 +0800] "GET /rupeng-admin-prototype/js/common.js HTTP/1.1" 200 1769
0:0:0:0:0:0:0:1 - - [28/Dec/2017:21:36:54 +0800] "GET /rupeng-admin-prototype/lib/layer/1.9.3/skin/layer.css HTTP/1.1" 200 11508
0:0:0:0:0:0:0:1 - - [28/Dec/2017:21:36:54 +0800] "GET /rupeng-admin-prototype/lib/My97DatePicker/skin/WdatePicker.css HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [28/Dec/2017:21:36:54 +0800] "GET /rupeng-admin-prototype/welcome.html HTTP/1.1" 200 1835
0:0:0:0:0:0:0:1 - - [28/Dec/2017:21:36:54 +0800] "GET /rupeng-admin-prototype/lib/Hui-iconfont/1.0.1/iconfont.woff HTTP/1.1" 200 62672
0:0:0:0:0:0:0:1 - - [28/Dec/2017:21:36:54 +0800] "GET /rupeng-admin-prototype/skin/default/icon_arrow.png HTTP/1.1" 200 1484
0:0:0:0:0:0:0:1 - - [28/Dec/2017:21:36:54 +0800] "GET /rupeng-admin-prototype/images/acrossTab-2.png HTTP/1.1" 200 5710
0:0:0:0:0:0:0:1 - - [28/Dec/2017:21:36:54 +0800] "GET /rupeng-admin-prototype/images/loading.gif HTTP/1.1" 200 8476
0:0:0:0:0:0:0:1 - - [28/Dec/2017:21:36:55 +0800] "GET /rupeng-admin-prototype/images/acrossTab-close.png HTTP/1.1" 200 1541
0:0:0:0:0:0:0:1 - - [28/Dec/2017:21:36:55 +0800] "GET /rupeng-admin-prototype/page/text/list.html HTTP/1.1" 200 4536
0:0:0:0:0:0:0:1 - - [28/Dec/2017:21:36:55 +0800] "GET /rupeng-admin-prototype/lib/laypage/1.2/laypage.js HTTP/1.1" 200 3673
0:0:0:0:0:0:0:1 - - [28/Dec/2017:21:36:55 +0800] "GET /rupeng-admin-prototype/lib/laypage/1.2//skin/laypage.css HTTP/1.1" 200 1059
0:0:0:0:0:0:0:1 - - [28/Dec/2017:21:36:56 +0800] "GET /rupeng-admin-prototype/page/text/add.html HTTP/1.1" 200 3937
0:0:0:0:0:0:0:1 - - [28/Dec/2017:21:36:56 +0800] "GET /rupeng-admin-prototype/lib/layer/1.9.3/skin/default/loading-0.gif HTTP/1.1" 200 5793
0:0:0:0:0:0:0:1 - - [28/Dec/2017:21:36:56 +0800] "GET /rupeng-admin-prototype/lib/layer/1.9.3/skin/default/icon.png HTTP/1.1" 200 12527
0:0:0:0:0:0:0:1 - - [28/Dec/2017:21:40:36 +0800] "GET /rupeng-admin-prototype/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:21:40:38 +0800] "GET /rupeng-admin-prototype/page/text/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:21:40:39 +0800] "GET /rupeng-admin-prototype/page/text/add.html HTTP/1.1" 200 4372
0:0:0:0:0:0:0:1 - - [28/Dec/2017:21:41:31 +0800] "GET /rupeng-admin-prototype/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:21:41:35 +0800] "GET /rupeng-admin-prototype/page/text/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:21:41:36 +0800] "GET /rupeng-admin-prototype/page/text/add.html HTTP/1.1" 200 4365
0:0:0:0:0:0:0:1 - - [28/Dec/2017:22:29:07 +0800] "GET /rupeng-admin-prototype/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:22:29:09 +0800] "GET /rupeng-admin-prototype/page/text/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:22:29:12 +0800] "GET /rupeng-admin-prototype/page/text/add.html HTTP/1.1" 200 4110
0:0:0:0:0:0:0:1 - - [28/Dec/2017:22:29:38 +0800] "GET /rupeng-admin-prototype/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:22:29:41 +0800] "GET /rupeng-admin-prototype/page/text/add.html HTTP/1.1" 200 4110
0:0:0:0:0:0:0:1 - - [28/Dec/2017:22:29:42 +0800] "GET /rupeng-admin-prototype/page/text/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:22:30:28 +0800] "GET /rupeng-admin-prototype/page/text/add.html HTTP/1.1" 200 4394
0:0:0:0:0:0:0:1 - - [28/Dec/2017:22:31:32 +0800] "GET /rupeng-admin-prototype/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:22:31:35 +0800] "GET /rupeng-admin-prototype/page/text/add.html HTTP/1.1" 200 4804
